supplier_id,name,industry,country,city,address,postal_code,political_risk,trade_risk,natural_disaster_risk,revenue_growth_yoy,net_profit_margin,credit_rating,on_time_delivery_rate,quality_score,response_time_hours,years_in_business,employee_count,certification,email,phone,total_orders,actual_on_time_rate,total_business_value,completed_orders,products
SUP1000,Stellar Corporation,Textiles,India,Jabalpur,113 Zone 14,364202,5.0,1.4,3.1,26.28,12.65,AA-,87.03,4.9,30.2,40,2946,ISO 14001,info@stellarcorporation.in,+91-44-26284052,241,85.64,31000436.09,201,"towels, bed linens"
SUP1001,Omega Products,Automotive,India,Ludhiana,598 MG Road,802602,3.9,4.5,2.7,18.2,6.04,A-,96.71,3.85,27.9,30,2404,ISO 9001,info@omegaproducts.in,+91-79-73394973,156,70.46,3458187.69,112,"exhaust systems, steering systems, filters"
SUP1002,Heritage Company,Textiles,India,Ahmedabad,172 Sector 17,545852,2.6,3.6,2.0,9.29,13.75,AA,94.87,4.24,35.1,5,4215,ISO 9001,info@heritagecompany.in,+91-22-93792798,172,92.62,4815223.84,144,"upholstery fabrics, bed linens"
SUP1003,Imperial Manufacturing,Automotive,India,Kolkata,675 Business District,433939,4.9,3.2,4.7,-1.25,11.2,BBB+,87.44,3.11,25.8,11,2075,ISO 14001,info@imperialmanufacturing.in,+91-79-56070127,93,71.16,12854935.8,67,"filters, steering systems"
SUP1004,Premier Systems,Pharma,India,Howrah,678 Business District,179133,3.8,2.9,2.2,26.15,16.51,A-,70.87,3.52,5.0,39,2400,ISO 9001,info@premiersystems.in,+91-79-41452689,98,96.39,32040318.94,84,"antibiotics, pain relievers, vitamins"
SUP1005,Innovative Technologies,Automotive,India,Howrah,809 Business District,972409,2.6,4.1,4.7,30.91,7.69,AA-,86.43,4.37,33.5,9,2183,ISO 14001,info@innovativetechnologies.in,+91-79-12169435,20,80.81,34786358.94,18,"batteries, wiring harnesses"
SUP1006,Stellar Pvt Ltd,Machinery,India,Surat,716 Zone 12,940665,1.6,3.3,6.0,30.78,14.97,A-,71.29,3.22,44.4,4,3194,ISO 14001,info@stellarpvtltd.in,+91-22-56324204,487,66.99,16901258.33,368,"lathes, welding machines, drilling equipment"
SUP1007,Atlas Group,Food & Beverage,India,Thane,304 MG Road,736027,3.8,4.1,3.2,7.66,7.53,BB,93.06,3.41,3.9,40,4585,,info@atlasgroup.in,+91-33-76853761,5,76.27,45517976.78,1,"packaged snacks, beverages, spices"
SUP1008,Nexus Systems,Electronics,India,Mumbai,397 Sector 2,290373,2.7,1.2,6.5,20.33,4.66,AA+,84.97,4.54,31.0,16,832,ISO 14001,info@nexussystems.in,+91-33-40993019,448,78.97,13334517.86,340,"semiconductors, cameras"
SUP1009,Phoenix Solutions,Electronics,India,Ghaziabad,129 Business District,195094,2.0,3.6,6.1,-4.77,11.14,AA,73.75,3.16,42.5,3,3733,ISO 14001,info@phoenixsolutions.in,+91-11-18637805,96,94.52,15684300.93,73,"laptops, monitors, circuit boards"
SUP1010,Titan International,Chemicals,India,Nagpur,951 Sector 59,779414,3.6,2.8,4.3,7.33,4.45,A-,87.8,3.17,20.3,7,1058,ISO 9001,info@titaninternational.in,+91-33-82319981,297,69.64,8990020.36,231,"specialty chemicals, catalysts"
SUP1011,Sigma Products,Textiles,India,Lucknow,816 MG Road,686731,4.9,3.7,4.2,28.68,9.2,A+,73.0,3.47,15.6,25,1982,ISO 9001,info@sigmaproducts.in,+91-40-99749020,131,92.31,7450114.93,131,"towels, bed linens, upholstery fabrics"
SUP1012,Heritage Industries,Construction,India,Srinagar,578 Zone 48,527021,4.2,3.1,2.4,32.04,6.68,AAA,93.56,4.99,36.2,3,4092,ISO 9001,info@heritageindustries.in,+91-44-45445601,362,81.39,49444236.59,309,"windows, paint, insulation materials"
SUP1013,Atlas Supplies,Construction,India,Coimbatore,949 Main Street,756286,4.2,4.0,6.2,31.7,11.48,AAA,81.83,3.44,19.0,33,3995,ISO 9001,info@atlassupplies.in,+91-44-46475834,61,87.98,10822874.08,60,"roofing materials, bricks, tiles"
SUP1014,Vanguard Products,Chemicals,India,Kalyan-Dombivali,457 Industrial Area,955382,3.2,2.4,4.6,24.82,4.29,BBB+,90.74,4.79,25.2,7,2969,ISO 14001,info@vanguardproducts.in,+91-33-66538723,20,71.89,39214732.96,17,"resins, dyes, pigments"
SUP1015,Premier Limited,Automotive,India,Meerut,211 MG Road,999075,3.8,1.1,5.6,-0.53,13.27,BBB-,78.21,4.74,41.9,35,3186,ISO 14001,info@premierlimited.in,+91-11-72659474,366,70.66,14540545.04,267,"filters, steering systems"
SUP1016,Alpha Enterprises,Chemicals,India,Thane,559 Sector 73,668319,5.5,3.8,5.5,12.24,6.78,BB,75.6,3.86,34.8,20,3613,ISO 9001,info@alphaenterprises.in,+91-79-56333794,27,75.43,43463365.44,18,"specialty chemicals, reagents"
