po_number,supplier_id,supplier_name,order_date,expected_delivery_date,actual_delivery_date,status,item_description,quantity,unit_price,subtotal,tax_rate,tax_amount,total_amount,currency,on_time_delivery,payment_terms,shipping_method,created_by,quality_rating,political_risk_rating,trade_risk_rating,natural_disaster_risk_rating,delivery_rating,response_time_rating,overall_rating,rating_comments
PO10000,SUP1326,Dynamic Associates,2025-08-13,2025-08-19,,Cancelled,Standard order: herbal medicines,322.0,30538.52,9833403.44,0.18,1770012.62,11603416.06,INR,,Net 60,Air Freight,Anita Desai,4.42,4.4,1.2,2.1,3.58,4.51,4.17,Professional and responsive
PO10001,SUP1031,Pinnacle Exports,2025-04-02,2025-04-09,,Pending,Standard order: sauces,120.0,12789.09,1534690.8,0.18,276244.34,1810935.14,INR,,Due on Receipt,Rail,Rajesh Kumar,2.62,3.0,1.7,6.2,3.42,2.65,2.9,Quality control issues
PO10002,SUP1497,Atlas Associates,2025-06-22,2025-07-08,,Cancelled,roofing materials - industrial grade,433.0,18767.53,8126340.49,0.18,1462741.29,9589081.78,INR,,Net 60,Air Freight,Deepika Nair,3.31,4.3,4.4,5.6,4.18,4.75,4.08,Quality products delivered on time
PO10003,SUP1141,Omega Traders,2025-06-09,2025-06-23,2025-06-26,Delivered,Purchase of plumbing fixtures,371.0,5724.93,2123949.03,0.18,382310.83,2506259.86,INR,No,Net 15,Air Freight,Kavita Joshi,4.39,4.0,3.3,6.0,2.23,3.85,3.49,Quality issues noted on inspection
PO10004,SUP1119,Apex Supplies,2025-11-22,2025-12-02,,Pending,Order for cotton fabrics,459.0,6263.29,2874850.11,0.18,517473.02,3392323.13,INR,,Net 45,Rail,Anita Desai,3.55,5.4,2.9,4.4,3.04,4.15,3.58,Late delivery impacted schedule
PO10005,SUP1297,Titan Manufacturing,2024-12-26,2025-01-14,,Pending,Purchase of brake systems,94.0,13027.99,1224631.06,0.18,220433.59,1445064.65,INR,,Net 15,Sea Freight,Meera Iyer,3.66,2.7,3.0,4.2,3.07,3.75,3.49,Communication could be improved
PO10006,SUP1242,Beta Solutions,2025-03-10,2025-03-28,,Pending,Bulk order of processors,167.0,45414.51,7584223.17,0.18,1365160.17,8949383.34,INR,,Net 90,Sea Freight,Anita Desai,2.82,5.7,2.1,3.4,4.22,2.97,3.34,Delivery delays affected production
PO10007,SUP1317,Sigma Exports,2025-04-18,2025-04-24,2025-04-21,Delivered,Standard order: reagents,204.0,40016.5,8163366.0,0.18,1469405.88,9632771.88,INR,Yes,Net 90,Sea Freight,Priya Sharma,4.67,4.7,3.2,4.1,4.25,4.76,4.56,Consistently meets expectations
PO10008,SUP1178,National Solutions,2024-11-28,2024-12-05,2024-12-08,Completed,Supply of solvents,266.0,9164.13,2437658.58,0.18,438778.54,2876437.12,INR,No,Due on Receipt,Rail,Meera Iyer,4.55,3.7,1.3,4.6,3.13,3.61,3.76,Communication could be improved
PO10009,SUP1049,Frontier Exports,2025-08-15,2025-09-01,2025-09-07,Completed,Procurement of industrial fabrics,151.0,17675.31,2668971.81,0.18,480414.93,3149386.74,INR,No,Net 60,Sea Freight,Sanjay Gupta,3.82,4.9,2.6,2.3,3.66,4.17,3.88,Product quality inconsistent
PO10010,SUP1497,Atlas Associates,2025-07-20,2025-07-26,,Cancelled,Bulk order of bricks,40.0,1596.72,63868.8,0.18,11496.38,75365.18,INR,,Net 15,Express Courier,Priya Sharma,3.41,3.9,4.4,5.3,4.46,4.29,4.05,Exceeds quality standards
